nct_id,phase,sponsor_name,sponsor_type,study_title,cohort,age_min,age_max,type_lung_nsclc_adeno,type_lung_nsclc_large,type_lung_nsclc_squamous,type_lung_sclc,stage_i,stage_ii,stage_iii,stage_iv,stage_sclc_ls,stage_sclc_es,status_newly_diagnosed,status_relapse,status_refractory,marker_alk_oncogene,marker_egfr_mutation,marker_kras_mutation,treatment_radiation,treatment_radiation_exclusion_period_mo,treatment_chemo_systemic,treatment_chemo_systemic_exclusion_period_mo,treatment_chemo_adjuvant,treatment_chemo_adjuvant_exclusion_period_mo,treatment_tki,treatment_tki_exclusion_period_mo,eligibility_criteria_text
          -  Severe infection within 4 weeks prior to randomization

          -  Significant history of cardiovascular disease
      "

NCT02364999,Phase 3,Pfizer,Industry,"A Phase 3 Randomized, Double-blind Study Of Pf- 06439535 Plus Paclitaxel-carboplatin And Bevacizumab Plus Paclitaxel -Carboplatin For The First-line Treatment Of Patients With Advanced Non-squamous Non-small Cell Lung Cancer.",1,18,150,include,include,,,,,include,include,,,require,,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Male and female patients age at least 18 years of age, or age of consent in the
             region.

          -  Newly diagnosed Stage IIIB or IV non-small cell lung cancer (according to Revised
             International System for Staging Lung Cancer criteria of 2010) or recurrent non-small
             cell lung cancer (NSCLC).

          -  Histologically or cytologically confirmed diagnosis of predominately non-squamous
             NSCLC.

          -  Be eligible to receive study treatment of bevacizumab, paclitaxel, and carboplatin
             based on local standard of care, for the treatment of advanced or metastatic
             non-squamous NSCLC.

        Exclusion Criteria:

          -  Small cell lung cancer (SCLC) or combination SCLC and NSCLC. Squamous-cell tumors and
             mixed adenosquamous carcinomas of predominantly squamous nature.

          -  Evidence of a tumor that compresses or invades major blood vessels or tumor
             cavitation that is likely to bleed.

          -  Known sensitizing EGFR mutations (for example, deletion 19 or L858R) or EML4-ALK
             translocation positive mutations.

          -  Prior systemic therapy for NSCLC; prior neoadjuvant or adjuvant therapy is allowed if
             surgical resection for primary disease was performed.
      "

NCT02364999,Phase 3,Pfizer,Industry,"A Phase 3 Randomized, Double-blind Study Of Pf- 06439535 Plus Paclitaxel-carboplatin And Bevacizumab Plus Paclitaxel -Carboplatin For The First-line Treatment Of Patients With Advanced Non-squamous Non-small Cell Lung Cancer.",2,18,150,include,include,,,include,include,,,,,,require,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

          -  Male and female patients age at least 18 years of age, or age of consent in the
             region.

          -  Newly diagnosed Stage IIIB or IV non-small cell lung cancer (according to Revised
             International System for Staging Lung Cancer criteria of 2010) or recurrent non-small
             cell lung cancer (NSCLC).

          -  Histologically or cytologically confirmed diagnosis of predominately non-squamous
             NSCLC.

          -  Be eligible to receive study treatment of bevacizumab, paclitaxel, and carboplatin
             based on local standard of care, for the treatment of advanced or metastatic
             non-squamous NSCLC.

        Exclusion Criteria:

          -  Small cell lung cancer (SCLC) or combination SCLC and NSCLC. Squamous-cell tumors and
             mixed adenosquamous carcinomas of predominantly squamous nature.

          -  Evidence of a tumor that compresses or invades major blood vessels or tumor
             cavitation that is likely to bleed.

          -  Known sensitizing EGFR mutations (for example, deletion 19 or L858R) or EML4-ALK
             translocation positive mutations.

          -  Prior systemic therapy for NSCLC; prior neoadjuvant or adjuvant therapy is allowed if
             surgical resection for primary disease was performed.
      "

NCT02477826,Phase 3,Bristol-Myers Squibb,Industry,"An Open-Label, Randomized Phase 3 Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum Doublet Chemotherapy Versus Platinum Doublet Chemotherapy in Subjects With Chemotherapy-NaÌøve Stage IV or Recurrent Non-Small Cell Lung Cancer (NSCLC)",1,18,150,include,include,include,,,,,include,,,,,,,,,,,exclude,1800,,,,,"
        For more information regarding BMS clinical trial participation, please visit
        www.BMSStudyConnect.com

        Inclusion Criteria:

          -  Subjects with histologically confirmed Stage IV or recurrent NSCLC squamous or
             non-squamous histology, with no prior systemic anticancer therapy

          -  Subjects must have programmed death-ligand 1 (PD -L1) immunohistochemical (IHC)
             testing, with results, performed by the central lab during the Screening period

          -  Eastern Cooperative Oncology Group (ECOG) Performance Status of ‰ä_ 1

          -  Measurable disease by CT or MRI per response evaluation criteria in solid tumors
             version 1.1 (RECIST 1.1) criteria

        Exclusion Criteria:

          -  Subjects with untreated Central nervous system (CNS) metastases are excluded

          -  Subjects with an active, known or suspected autoimmune disease are excluded

          -  Any positive test for hepatitis B virus or hepatitis C virus or human
             immunodeficiency virus (HIV) indicating acute or chronic infection
      "

NCT02477826,Phase 3,Bristol-Myers Squibb,Industry,"An Open-Label, Randomized Phase 3 Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum Doublet Chemotherapy Versus Platinum Doublet Chemotherapy in Subjects With Chemotherapy-NaÌøve Stage IV or Recurrent Non-Small Cell Lung Cancer (NSCLC)",2,18,150,include,include,include,,include,include,include,,,,,require,,,,,,,exclude,1800,,,,,"
        For more information regarding BMS clinical trial participation, please visit
        www.BMSStudyConnect.com

        Inclusion Criteria:

          -  Subjects with histologically confirmed Stage IV or recurrent NSCLC squamous or
             non-squamous histology, with no prior systemic anticancer therapy

          -  Subjects must have programmed death-ligand 1 (PD -L1) immunohistochemical (IHC)
             testing, with results, performed by the central lab during the Screening period

          -  Eastern Cooperative Oncology Group (ECOG) Performance Status of ‰ä_ 1

          -  Measurable disease by CT or MRI per response evaluation criteria in solid tumors
             version 1.1 (RECIST 1.1) criteria

        Exclusion Criteria:

          -  Subjects with untreated Central nervous system (CNS) metastases are excluded

          -  Subjects with an active, known or suspected autoimmune disease are excluded

          -  Any positive test for hepatitis B virus or hepatitis C virus or human
             immunodeficiency virus (HIV) indicating acute or chronic infection
      "

NCT02152631,Phase 3,Eli Lilly and Company,Industry,JUNIPER: A Randomized Phase 3 Study of Abemaciclib Plus Best Supportive Care Versus Erlotinib Plus Best Supportive Care in Patients With Stage IV NSCLC With a Detectable KRAS Mutation Who Have Progressed After Platinum-Based Chemotherapy,1,18,150,include,include,include,,,,,include,,,,,,,,require,,,require,,,,,,"
        Inclusion Criteria:

          -  Have confirmed diagnosis of stage IV non-small cell lung cancer (NSCLC) according to
             the American Joint Committee on Cancer Staging Handbook.

          -  Determined to have detectable mutations in codons 12 or 13 of the kirsten rat sarcoma
             (KRAS) oncogene by an investigational assay at the study JPBK central laboratory. A
             KRAS positive mutation result in codons 12 or 13 of the KRAS oncogene from tumor
             tissue per local laboratory will be permitted in no more than 10% of randomized
             participants.

          -  Have progressed after platinum-based chemotherapy (with or without maintenance
             therapy) AND have received one additional therapy which may include an immune
             checkpoint inhibitor or other anti-cancer therapy for advanced and/or metastatic
             disease OR is judged by the physician as ineligible for further standard second-line
             chemotherapy. Participants who have progressed after platinum-based chemotherapy and
             an immune checkpoint inhibitor (immunotherapy) e.g. pembrolizumab or nivolumab alone
             or in combination with other agents are eligible.

          -  Have measureable disease as defined by the Response Evaluation Criteria in Solid
             Tumors (RECIST 1.1).

          -  Have a performance status (PS) of 0 to 1 on the Eastern Cooperative Oncology Group
             (ECOG) scale.

          -  Have discontinued all previous therapies for cancer (including chemotherapy,
             radiotherapy, immunotherapy, and investigational therapy) for at least 21 days for
             myelosuppressive agents or 14 days for nonmyelosuppressive agents prior to receiving
             study drug.

        Exclusion Criteria:

          -  Have received treatment with a drug that has not received regulatory approval for any
             indication within 14 or 21 days of the initial dose of study drug for a
             nonmyelosuppressive or myelosuppressive agent, respectively.

          -  Have a personal history of any of the following conditions: presyncope or syncope of
             either unexplained or cardiovascular etiology, ventricular arrhythmia (including but
             not limited to ventricular tachycardia and ventricular fibrillation), or sudden
             cardiac arrest.

          -  Have the presence of unstable central nervous system (CNS) metastasis. History of CNS
             metastasis or stable CNS metastases is allowed (no longer requiring active therapy
             such as steroid medications). Participants with a history of CNS metastases must have
             a brain scan (for example, magnetic resonance imaging [MRI]) within 28 days of
             randomization to document stability, even if there have been no changes in symptoms.
      "

NCT02272413,Phase 3,Boehringer Ingelheim,Industry,"A Multicenter, Randomized, Double-blind Phase III Trial to Evaluate Efficacy and Safety of BI 695502 Plus Chemotherapy Versus Avastinå¨ Plus Chemotherapy in Patients With Advanced Nonsquamous Non-Small Cell Lung Cancer",1,18,150,include,include,,,,,,include,,,,,,require_alk_or_egfr,require_alk_or_egfr,,exclude,12,exclude,12,,,,,"
        Inclusion criteria:

        Adult patients aged >=18 years with histologically or cytologically confirmed advanced
        nonsquamous non-small cell lung cancer (nsNSCLC). Mixed tumors should be categorized
        according to the predominant histology.

        Note: NSCLC should be predominantly nonsquamous. Recurrent or metastatic disease (Stage
        IV) with an indication for therapy with paclitaxel + carboplatin + Avastinå¨.

        Patients harboring tumors with unknown or without activating epidermal growth factor
        receptor (EGFR) / anaplastic lymphoma receptor tyrosine kinase (ALK) mutation maybe
        included provided chemotherapy is standard of care. At least one measurable lesion
        according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 based on
        independent central review.

        Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or 1.

        Adequate hepatic, renal, and bone marrow function:

        Life expectancy > 6 months based on clinical judgment. Further inclusion criteria apply.

        Exclusion criteria:

        Prior therapy with monoclonal antibodies or small molecule inhibitors against Vascular
        Endothelial Growth Factor (VEGF) or VEGF receptors, including Avastinå¨.

        Prior systemic therapy for metastatic disease. Prior systemic anticancer therapy or
        radiotherapy for locally advanced nsNSCLC if completed <12 months prior to Screening.

        Previous malignancy other than NSCLC in the last 5 years except for basal cell cancer of
        the skin or pre-invasive cancer of the cervix.

        Symptomatic brain metastasis. Diagnosis of small cell carcinoma of the lung, squamous cell
        carcinoma of the lung, NSCLC not specified (NS) or NSCLC not otherwise specified(NOS).

        Any unresolved toxicity > Common Toxicity Criteria Grade 1 (except alopecia) from previous
        anticancer therapy (including radiotherapy).

        History or evidence of inherited bleeding diathesis or coagulopathy with the risk of
        bleeding. Thrombotic or hemorrhagic event =< 6 months prior to Screening. Further
        exclusion criteria apply.
      "

NCT02272413,Phase 3,Boehringer Ingelheim,Industry,"A Multicenter, Randomized, Double-blind Phase III Trial to Evaluate Efficacy and Safety of BI 695502 Plus Chemotherapy Versus Avastinå¨ Plus Chemotherapy in Patients With Advanced Nonsquamous Non-Small Cell Lung Cancer",2,18,150,include,include,,,,,,include,,,,,,,,,exclude,12,require,,,,,,"
        Inclusion criteria:

        Adult patients aged >=18 years with histologically or cytologically confirmed advanced
        nonsquamous non-small cell lung cancer (nsNSCLC). Mixed tumors should be categorized
        according to the predominant histology.

        Note: NSCLC should be predominantly nonsquamous. Recurrent or metastatic disease (Stage
        IV) with an indication for therapy with paclitaxel + carboplatin + Avastinå¨.

        Patients harboring tumors with unknown or without activating epidermal growth factor
        receptor (EGFR) / anaplastic lymphoma receptor tyrosine kinase (ALK) mutation maybe
        included provided chemotherapy is standard of care. At least one measurable lesion
        according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 based on
        independent central review.

        Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or 1.

        Adequate hepatic, renal, and bone marrow function:

        Life expectancy > 6 months based on clinical judgment. Further inclusion criteria apply.

        Exclusion criteria:

        Prior therapy with monoclonal antibodies or small molecule inhibitors against Vascular
        Endothelial Growth Factor (VEGF) or VEGF receptors, including Avastinå¨.

        Prior systemic therapy for metastatic disease. Prior systemic anticancer therapy or
        radiotherapy for locally advanced nsNSCLC if completed <12 months prior to Screening.

        Previous malignancy other than NSCLC in the last 5 years except for basal cell cancer of
        the skin or pre-invasive cancer of the cervix.

        Symptomatic brain metastasis. Diagnosis of small cell carcinoma of the lung, squamous cell
        carcinoma of the lung, NSCLC not specified (NS) or NSCLC not otherwise specified(NOS).

        Any unresolved toxicity > Common Toxicity Criteria Grade 1 (except alopecia) from previous
        anticancer therapy (including radiotherapy).

        History or evidence of inherited bleeding diathesis or coagulopathy with the risk of
        bleeding. Thrombotic or hemorrhagic event =< 6 months prior to Screening. Further
        exclusion criteria apply.
      "

NCT02272413,Phase 3,Boehringer Ingelheim,Industry,"A Multicenter, Randomized, Double-blind Phase III Trial to Evaluate Efficacy and Safety of BI 695502 Plus Chemotherapy Versus Avastinå¨ Plus Chemotherapy in Patients With Advanced Nonsquamous Non-Small Cell Lung Cancer",3,18,150,include,include,,,include,include,include,,,,,require,,require_alk_or_egfr,require_alk_or_egfr,,exclude,12,exclude,12,,,,,"
        Inclusion criteria:

        Adult patients aged >=18 years with histologically or cytologically confirmed advanced
        nonsquamous non-small cell lung cancer (nsNSCLC). Mixed tumors should be categorized
        according to the predominant histology.

        Note: NSCLC should be predominantly nonsquamous. Recurrent or metastatic disease (Stage
        IV) with an indication for therapy with paclitaxel + carboplatin + Avastinå¨.

        Patients harboring tumors with unknown or without activating epidermal growth factor
        receptor (EGFR) / anaplastic lymphoma receptor tyrosine kinase (ALK) mutation maybe
        included provided chemotherapy is standard of care. At least one measurable lesion
        according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 based on
        independent central review.

        Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or 1.

        Adequate hepatic, renal, and bone marrow function:

        Life expectancy > 6 months based on clinical judgment. Further inclusion criteria apply.

        Exclusion criteria:

        Prior therapy with monoclonal antibodies or small molecule inhibitors against Vascular
        Endothelial Growth Factor (VEGF) or VEGF receptors, including Avastinå¨.

        Prior systemic therapy for metastatic disease. Prior systemic anticancer therapy or
        radiotherapy for locally advanced nsNSCLC if completed <12 months prior to Screening.

        Previous malignancy other than NSCLC in the last 5 years except for basal cell cancer of
        the skin or pre-invasive cancer of the cervix.

        Symptomatic brain metastasis. Diagnosis of small cell carcinoma of the lung, squamous cell
        carcinoma of the lung, NSCLC not specified (NS) or NSCLC not otherwise specified(NOS).

        Any unresolved toxicity > Common Toxicity Criteria Grade 1 (except alopecia) from previous
        anticancer therapy (including radiotherapy).

        History or evidence of inherited bleeding diathesis or coagulopathy with the risk of
        bleeding. Thrombotic or hemorrhagic event =< 6 months prior to Screening. Further
        exclusion criteria apply.
      "

NCT02272413,Phase 3,Boehringer Ingelheim,Industry,"A Multicenter, Randomized, Double-blind Phase III Trial to Evaluate Efficacy and Safety of BI 695502 Plus Chemotherapy Versus Avastinå¨ Plus Chemotherapy in Patients With Advanced Nonsquamous Non-Small Cell Lung Cancer",4,18,150,include,include,,,include,include,include,,,,,require,,,,,exclude,12,require,,,,,,"
        Inclusion criteria:

        Adult patients aged >=18 years with histologically or cytologically confirmed advanced
        nonsquamous non-small cell lung cancer (nsNSCLC). Mixed tumors should be categorized
        according to the predominant histology.

        Note: NSCLC should be predominantly nonsquamous. Recurrent or metastatic disease (Stage
        IV) with an indication for therapy with paclitaxel + carboplatin + Avastinå¨.

        Patients harboring tumors with unknown or without activating epidermal growth factor
        receptor (EGFR) / anaplastic lymphoma receptor tyrosine kinase (ALK) mutation maybe
        included provided chemotherapy is standard of care. At least one measurable lesion
        according to Response Evaluation Criteria in Solid Tumors (RECIST) 1.1 based on
        independent central review.

        Eastern Cooperative Oncology Group (ECOG) performance status (PS) 0 or 1.

        Adequate hepatic, renal, and bone marrow function:

        Life expectancy > 6 months based on clinical judgment. Further inclusion criteria apply.

        Exclusion criteria:

        Prior therapy with monoclonal antibodies or small molecule inhibitors against Vascular
        Endothelial Growth Factor (VEGF) or VEGF receptors, including Avastinå¨.

        Prior systemic therapy for metastatic disease. Prior systemic anticancer therapy or
        radiotherapy for locally advanced nsNSCLC if completed <12 months prior to Screening.

        Previous malignancy other than NSCLC in the last 5 years except for basal cell cancer of
        the skin or pre-invasive cancer of the cervix.

        Symptomatic brain metastasis. Diagnosis of small cell carcinoma of the lung, squamous cell
        carcinoma of the lung, NSCLC not specified (NS) or NSCLC not otherwise specified(NOS).

        Any unresolved toxicity > Common Toxicity Criteria Grade 1 (except alopecia) from previous
        anticancer therapy (including radiotherapy).

        History or evidence of inherited bleeding diathesis or coagulopathy with the risk of
        bleeding. Thrombotic or hemorrhagic event =< 6 months prior to Screening. Further
        exclusion criteria apply.
      "

NCT02538666,Phase 3,Bristol-Myers Squibb,Industry,"A Randomized, Multicenter, Double-Blind, Phase 3 Study of Nivolumab, Nivolumab in Combination With Ipilimumab, or Placebo as Maintenance Therapy in Subjects With Extensive-Stage Disease Small Cell Lung Cancer (ED-SCLC) After Completion of Platinum-based First Line Chemotherapy (CheckMate 451: CHECKpoint Pathway and nivoluMAb Clinical Trial Evaluation 451)",1,18,150,,,,include,,,,,,include,,,,,,,,,require,,,,,,"
        For more information regarding BMS clinical trial participation, please visit
        www.BMSStudyConnect.com

        Inclusion Criteria:

          -  Subjects with histologically or cytologically confirmed extensive stage disease SCLC

          -  Ongoing response of stable disease or better following 4 cycles of platinum-based
             first line chemotherapy

          -  Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1

        Exclusion Criteria:

          -  Subjects with symptomatic Central Nervous System (CNS) metastases

          -  Subjects receiving consolidative chest radiation

          -  Subjects with active, known, or suspected autoimmune disease are excluded

          -  All side effects attributed to prior anti-cancer therapy must have resolved to Grade
             1 or baseline
      "

NCT02367781,Phase 3,Hoffmann-La Roche,Industry,"A Phase III Multicenter, Randomized, Open-Label Study Evaluating the Efficacy and Safety of MPDL3280A (Anti-PD-L1 Antibody) in Combination With Carboplatin + Nab-Paclitaxel for Chemotherapy-Naive Patients With Stage IV Non-Squamous Non-Small Cell Lung Cancer",1,18,150,include,include,,,,,,include,,,,,,,,,,,,,,,,,"
        Inclusion Criteria:

          -  18 years of age or older

          -  Eastern Cooperative Oncology Group (ECOG) performance status of 0 or 1

          -  Histologically or cytologically confirmed, treatment-naive Stage IV non-squamous
             NSCLC

          -  Measurable disease, as defined by RECIST v1.1

          -  Previously obtained archival tumor or tissue obtained from a biopsy at screening

          -  Adequate hematologic and end organ function

        Exclusion Criteria:

          -  Active or untreated central nervous system (CNS) metastases

          -  Malignancies other than NSCLC within 5 years prior to randomization, with the
             exception of those with a negligible risk of metastasis or death treated with
             expected curative outcome

          -  Pregnant or lactating women

          -  History of autoimmune disease

          -  History of idiopathic pulmonary fibrosis, organizing pneumonia, drug-induced
             pneumonitis, idiopathic pneumonitis, or evidence of active pneumonitis on screening
             chest computed tomography (CT) scan; history of radiation pneumonitis in the
             radiation field (fibrosis) is permitted

          -  Positive test for Human Immunodeficiency Virus (HIV)

          -  Active hepatitis B or hepatitis C

          -  Prior treatment with CD137 agonists or immune checkpoint blockade therapies,
             anti-PD-1, and anti-PD-L1 therapeutic antibody

          -  Severe infection within 4 weeks prior to randomization

          -  Significant history of cardiovascular disease
      "

NCT02542293,Phase 3,AstraZeneca,Industry,"A Phase III Randomized, Open-Label, Multi-Center, Global Study of MEDI4736 in Combination With Tremelimumab Therapy Versus Standard of Care Platinum-Based Chemotherapy in First-Line Treatment of Patients With Advanced or Metastatic Non Small-Cell Lung Cancer (NSCLC)",1,18,130,include,include,include,,,,,include,,,,,,exclude,exclude,,,,exclude,1800,,,,,"
        Inclusion Criteria:

        For inclusion in the study, patients should fulfill the following criteria:

          -  Aged at least 18 years

          -  Documented evidence of Stage IV NSCLC

          -  No activating EGFR mutation or ALK rearrangement

          -  No prior chemotherapy or any other systemic therapy for recurrent/metastatic NSCLC

          -  World Health Organization (WHO) Performance Status of 0 or 1

        Exclusion Criteria:

        Patients should not enter the study if any of the following exclusion criteria are
        fulfilled:

          -  Mixed small cell lung cancer and NSCLC histology

          -  Brain metastases or spinal cord compression unless asymptomatic, treated and stable
             (not requiring steroids)

          -  Prior exposure to IMT, including, but not limited to, other antiCTLA4, antiPD1, anti
             PDL1,or antiPDL2 antibodies, excluding therapeutic anticancer vaccines

          -  Active or prior documented inflammatory bowel disease (eg, Crohn's disease,
             ulcerative colitis)
      "
